Timetable for L2-G2-S1
Day,Slot,Time,Type,Course Code,Course Name,Room,Instructor,Lab Instructor
Monday,1,9:00-10:30,Lecture,ACM215,ODE,B17 F1.16,Prof. Ayman Arafa,N/A
Monday,3,12:30-14:00,Lecture,LRA306,Natural Resources and Sustainability,B17 F1.15,Prof. LRA,N/A
Sunday,1,9:00-10:30,Lecture,CNC111,Network and Web Programming,B18 F1.21,Prof. Ahmed Antar,N/A
Sunday,2,10:45-12:15,Lecture,CSC211,Software Engineering,B17 G.09,Prof. Ahmed Arafa,N/A
Sunday,3,12:30-14:00,Lecture,CSE214,Computer Organization,B18 G.08,Prof. Mostafa Soliman,N/A
Sunday,4,14:15-15:45,Lecture,MTH212,Probability and Statistics,B18 G.08,Prof. Ahmed Zakaria,N/A
Thursday,1,9:00-10:30,Lab,CSC211,Software Engineering,B26 G.12,Eng. Nouran Moussa (Lab),Eng. Nouran Moussa
Thursday,2,10:45-12:15,Lab,CSE214,Computer Organization,B17 G.02,Eng. Omnya Ramadan (Lab),Eng. Omnya Ramadan
Tuesday,2,10:45-12:15,Lab,MTH212,Probability and Statistics,B09 F1.09,Eng. Math Specialist 1 (Lab),Eng. Math Specialist 1
Wednesday,1,9:00-10:30,Lab,LRA403,JA Language 3,B26 G.18,Prof. Language Assistant 1 (Lab),Prof. Language Assistant 1
Wednesday,2,10:45-12:15,Lab,ACM215,ODE,LAB.COMP.04,Eng. Ali Sato (Lab),Eng. Ali Sato
Wednesday,3,12:30-14:00,Lab,CNC111,Network and Web Programming,B17 G.20,Eng. Yousef Said (Lab),Eng. Yousef Said
