Timetable for L2-G3-S1
Day,Slot,Time,Type,Course Code,Course Name,Room,Instructor,Lab Instructor
Monday,1,9:00-10:30,Lecture,LRA306,Natural Resources and Sustainability,B18 F1.21,Prof. LRA,N/A
Monday,2,10:45-12:15,Lecture,ACM215,ODE,B17 F1.16,Prof. Ayman Arafa,N/A
Monday,3,12:30-14:00,Lab,ACM215,ODE,B26 G.19,Eng. Ali Sato (Lab),Eng. Ali Sato
Sunday,1,9:00-10:30,Lecture,MTH212,Probability and Statistics,B18 G.08,Prof. Ahmed Zakaria,N/A
Sunday,2,10:45-12:15,Lecture,CSE214,Computer Organization,B18 G.08,Prof. Mostafa Soliman,N/A
Sunday,3,12:30-14:00,Lecture,CSC211,Software Engineering,B17 G.09,Prof. Ahmed Arafa,N/A
Sunday,4,14:15-15:45,Lecture,CNC111,Network and Web Programming,B18 F1.21,Prof. Ahmed Antar,N/A
Thursday,3,12:30-14:00,Lab,LRA403,JA Language 3,B25 G.04,Prof. Yumi Sato (Lab),Prof. Yumi Sato
Tuesday,1,9:00-10:30,Lab,MTH212,Probability and Statistics,B10 F1.10,Eng. Math Specialist 1 (Lab),Eng. Math Specialist 1
Tuesday,2,10:45-12:15,Lab,CSC211,Software Engineering,B08 F1.07,Eng. Nada Ahmed (Lab),Eng. Nada Ahmed
Wednesday,2,10:45-12:15,Lab,CNC111,Network and Web Programming,B26 G.07,Eng. Alaa Essam (Lab),Eng. Alaa Essam
Wednesday,4,14:15-15:45,Lab,CSE214,Computer Organization,B18 G.02,Eng. Heba Abdelkader (Lab),Eng. Heba Abdelkader
