Timetable for L2-G1-S3
Day,Slot,Time,Type,Course Code,Course Name,Room,Instructor,Lab Instructor
Monday,1,9:00-10:30,Lecture,CSE214,Computer Organization,B17 G.09,Prof. Mostafa Soliman,N/A
Monday,2,10:45-12:15,Lecture,LRA306,Natural Resources and Sustainability,B17 G.09,Prof. LRA,N/A
Monday,4,14:15-15:45,Lab,MTH212,Probability and Statistics,B18 G.07,Eng. Statistics Expert (Lab),Eng. Statistics Expert
Sunday,1,9:00-10:30,Lecture,CSC211,Software Engineering,B17 G.09,Prof. Ahmed Arafa,N/A
Sunday,2,10:45-12:15,Lecture,CNC111,Network and Web Programming,B18 F1.21,Prof. Ahmed Antar,N/A
Sunday,3,12:30-14:00,Lecture,MTH212,Probability and Statistics,B18 F1.21,Prof. Ahmed Zakaria,N/A
Sunday,4,14:15-15:45,Lecture,ACM215,ODE,B17 G.09,Prof. Ayman Arafa,N/A
Thursday,1,9:00-10:30,Lab,CSE214,Computer Organization,B07 F1.23,Eng. Heba Abdelkader (Lab),Eng. Heba Abdelkader
Thursday,2,10:45-12:15,Lab,CNC111,Network and Web Programming,B26 G.18,Eng. Alaa Essam (Lab),Eng. Alaa Essam
Thursday,3,12:30-14:00,Lab,ACM215,ODE,B09 F1.12,Eng. Yousef Said (Lab),Eng. Yousef Said
Wednesday,1,9:00-10:30,Lab,LRA403,JA Language 3,B17 G.08,Prof. Lina Morales (Lab),Prof. Lina Morales
Wednesday,3,12:30-14:00,Lab,CSC211,Software Engineering,B07 F1.23,Eng. Adam Mohamed (Lab),Eng. Adam Mohamed
